INDV	Het_R	Population	Colour
CC3_3	0.0742826434547228	America	#F7931E
CC4_1	0.0777507616514778	America	#F7931E
DD7	0.0770410215495555	America	#F7931E
GP14	0.0756591963500878	America	#F7931E
GP2_3	0.0699016137573511	America	#F7931E
GP4_2	0.0615062733626956	America	#F7931E
GP6_5	0.0798519365055796	America	#F7931E
GP8_1	0.0733777806065621	America	#F7931E
HFA10	0.055886013923372	America	#F7931E
HFA11	0.0563232679686142	America	#F7931E
HerbarG1	0.168607103574213	Europe	#0000FF
HerbarG2	0.169766436275671	Europe	#0000FF
ML1_1	0.0734744091858707	America	#F7931E
ML3_1	0.0753538684360311	America	#F7931E
RB1_1	0.0955543839749069	America	#F7931E
RB2_7	0.0906170042643923	America	#F7931E
RB3_7	0.0943083477566236	America	#F7931E
RC1_1	0.074294469168883	America	#F7931E
RC2_3	0.0764024621488375	America	#F7931E
RD24	0.0784594710857831	America	#F7931E
RL1_1	0.0596861774335223	America	#F7931E
RL2_1	0.0634135575463144	America	#F7931E
RR2_1	0.0974386537723601	America	#F7931E
RU-100	0.0658563732573954	America	#F7931E
RU-102	0.0663585061205092	America	#F7931E
RU-103	0.0265000152215261	America	#F7931E
RU-186	0.0645748224331833	America	#F7931E
RU-195	0.0671019546761787	America	#F7931E
RU-206	0.0274725638280556	America	#F7931E
RU-408	0.0610495040550713	America	#F7931E
RU-410	0.066901324297554	America	#F7931E
SP138	0.199684882770792	SE_Asia	#FF0000
SP140	0.225327275947998	SE_Asia	#FF0000
SP141	0.20502426803196	SE_Asia	#FF0000
SP142	0.211295142229722	SE_Asia	#FF0000
SP143	0.248544538646338	SE_Asia	#FF0000
SP145	0.230945126011474	SE_Asia	#FF0000
SP148	0.214495150440215	SE_Asia	#FF0000
SP150	0.25199550406134	SE_Asia	#FF0000
SP151	0.211456549714444	SE_Asia	#FF0000
SP153	0.237318179102298	SE_Asia	#FF0000
SP155	0.227367053527336	SE_Asia	#FF0000
SP156	0.224543181483198	SE_Asia	#FF0000
SP157	0.224434212569633	SE_Asia	#FF0000
SP158	0.215832078938523	SE_Asia	#FF0000
