#gene_id	functional_anno
SpGA2022_000001-R0	Protein of unknown function
SpGA2022_050000-R0	Similar to PPR4: Pentatricopeptide repeat-containing protein At5g04810%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000004-R0	Similar to ADH1: Short chain aldehyde dehydrogenase 1 (Euphorbia lathyris)
SpGA2022_050001-R0	Similar to Secoisolariciresinol dehydrogenase (Fragment) (Forsythia intermedia)
SpGA2022_000006-R0	Similar to Secoisolariciresinol dehydrogenase (Fragment) (Forsythia intermedia)
SpGA2022_000007-R0	Similar to SDR3c: Short-chain dehydrogenase reductase 3c (Arabidopsis thaliana)
SpGA2022_000008-R0	Similar to MFSD10: Major facilitator superfamily domain-containing protein 10 (Bos taurus)
SpGA2022_000009-R0	Protein of unknown function
SpGA2022_050002-R0	Similar to Secoisolariciresinol dehydrogenase (Fragment) (Forsythia intermedia)
SpGA2022_000011-R0	Protein of unknown function
SpGA2022_000012-R0	Similar to Secoisolariciresinol dehydrogenase (Fragment) (Forsythia intermedia)
SpGA2022_000013-R0	Protein of unknown function
SpGA2022_000014-R0	Protein of unknown function
SpGA2022_000015-R0	Similar to Secoisolariciresinol dehydrogenase (Fragment) (Forsythia intermedia)
SpGA2022_000016-R0	Similar to ILL7: IAA-amino acid hydrolase ILR1-like 7 (Oryza sativa subsp. japonica)
SpGA2022_000017-R0	Similar to PCMP-E37: Putative pentatricopeptide repeat-containing protein At5g37570 (Arabidopsis thaliana)
SpGA2022_000018-R0	Protein of unknown function
SpGA2022_050003-R0	Similar to CAT6: Cationic amino acid transporter 6%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000020-R0	Protein of unknown function
SpGA2022_050004-R0	Similar to RGTB2: Geranylgeranyl transferase type-2 subunit beta 2 (Arabidopsis thaliana)
SpGA2022_000022-R0	Similar to RCOM_1282030: Casparian strip membrane protein 3 (Ricinus communis)
SpGA2022_000023-R0	Similar to CYP18-2: Peptidyl-prolyl cis-trans isomerase CYP18-2 (Arabidopsis thaliana)
SpGA2022_000024-R0	Protein of unknown function
SpGA2022_000025-R0	Similar to NAC090: NAC domain-containing protein 90 (Arabidopsis thaliana)
SpGA2022_000026-R0	Protein of unknown function
SpGA2022_000027-R0	Similar to UBICEP52-7: Ubiquitin-60S ribosomal protein L40 (Nicotiana sylvestris)
SpGA2022_050005-R0	Similar to CIN3: Beta-fructofuranosidase%2C insoluble isoenzyme 3 (Oryza sativa subsp. japonica)
SpGA2022_050006-R0	Similar to KIN5C: Kinesin-like protein KIN-5C (Oryza sativa subsp. japonica)
SpGA2022_000030-R0	Protein of unknown function
SpGA2022_000031-R0	Similar to ABI5: bZIP transcription factor ABI5 homolog (Oryza sativa subsp. japonica)
SpGA2022_050007-R0	Protein of unknown function
SpGA2022_000033-R0	Similar to TGAL5: Transcription factor TGAL5 (Oryza sativa subsp. japonica)
SpGA2022_000034-R0	Similar to rplT: 50S ribosomal protein L20 (Rhodospirillum centenum (strain ATCC 51521 / SW))
SpGA2022_000035-R0	Similar to At2g16710: Iron-sulfur assembly protein IscA-like 1%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_000036-R0	Similar to BIC1: Protein BIC1 (Arabidopsis thaliana)
SpGA2022_000037-R0	Similar to EFTS: Elongation factor Ts%2C mitochondrial (Oryza sativa subsp. japonica)
SpGA2022_000038-R0	Similar to QCR9: Cytochrome b-c1 complex subunit 9%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_050008-R0	Similar to At5g03905: Iron-sulfur assembly protein IscA-like 2%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_050009-R0	Protein of unknown function
SpGA2022_000041-R0	Similar to At2g27500: Glucan endo-1%2C3-beta-glucosidase 14 (Arabidopsis thaliana)
SpGA2022_000042-R0	Similar to FD3: Ferredoxin-3%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_050010-R0	Similar to At5g03900: Uncharacterized protein At5g03900%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000044-R0	Similar to At3g10130: Heme-binding-like protein At3g10130%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_000045-R0	Similar to CBP: Calcium-binding protein CBP (Oryza sativa subsp. japonica)
SpGA2022_000046-R0	Protein of unknown function
SpGA2022_000047-R0	Protein of unknown function
SpGA2022_000048-R0	Protein of unknown function
SpGA2022_000049-R0	Similar to SEC23: Protein transport protein SEC23 (Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056))
SpGA2022_000050-R0	Similar to PCMP-E76: Pentatricopeptide repeat-containing protein At2g13600 (Arabidopsis thaliana)
SpGA2022_000051-R0	Similar to SUA: SUPPRESSOR OF ABI3-5 (Arabidopsis thaliana)
SpGA2022_000051-R1	Similar to SUA: SUPPRESSOR OF ABI3-5 (Arabidopsis thaliana)
SpGA2022_000052-R0	Protein of unknown function
SpGA2022_000053-R0	Similar to RPS25E: 40S ribosomal protein S25-4 (Arabidopsis thaliana)
SpGA2022_000054-R0	Similar to At2g27730: Uncharacterized protein At2g27730%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_050012-R0	Similar to FFC: Signal recognition particle 54 kDa protein%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_050013-R0	Similar to At2g38710: Uncharacterized protein At2g38710 (Arabidopsis thaliana)
SpGA2022_000057-R0	Similar to CPA: N-carbamoylputrescine amidase (Oryza sativa subsp. japonica)
SpGA2022_000058-R0	Protein of unknown function
SpGA2022_000059-R0	Similar to ROPGAP1: Rho GTPase-activating protein 1 (Arabidopsis thaliana)
SpGA2022_000060-R0	Protein of unknown function
SpGA2022_000061-R0	Protein of unknown function
SpGA2022_050014-R0	Similar to At1g05670: Pentatricopeptide repeat-containing protein At1g05670%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_000063-R0	Protein of unknown function
SpGA2022_000064-R0	Similar to PCMP-E94: Pentatricopeptide repeat-containing protein At3g20730 (Arabidopsis thaliana)
SpGA2022_050015-R0	Similar to BASS4: Probable sodium/metabolite cotransporter BASS4%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_000066-R0	Similar to PARP3: Protein ADP-ribosyltransferase PARP3 (Medicago truncatula)
SpGA2022_000067-R0	Similar to ZPR4: Protein LITTLE ZIPPER 4 (Arabidopsis thaliana)
SpGA2022_000068-R0	Protein of unknown function
SpGA2022_000069-R0	Similar to PAP20: Probable purple acid phosphatase 20 (Arabidopsis thaliana)
SpGA2022_000070-R0	Protein of unknown function
SpGA2022_050016-R0	Similar to Mfsd14b: Hippocampus abundant transcript-like protein 1 (Mus musculus)
SpGA2022_000073-R0	Similar to SAP1: Zinc finger A20 and AN1 domain-containing stress-associated protein 1 (Arabidopsis thaliana)
SpGA2022_000073-R1	Similar to SAP1: Zinc finger A20 and AN1 domain-containing stress-associated protein 1 (Arabidopsis thaliana)
SpGA2022_000074-R0	Protein of unknown function
SpGA2022_000075-R0	Similar to URH1: Uridine nucleosidase 1 (Arabidopsis thaliana)
SpGA2022_050018-R0	Protein of unknown function
SpGA2022_000076-R0	Similar to PCMP-H60: Pentatricopeptide repeat-containing protein At2g27610 (Arabidopsis thaliana)
SpGA2022_000077-R0	Similar to At5g03610: GDSL esterase/lipase At5g03610 (Arabidopsis thaliana)
SpGA2022_050019-R0	Similar to Os09g0567700: Protein HIRA (Oryza sativa subsp. japonica)
SpGA2022_000080-R0	Similar to Alcohol-forming fatty acyl-CoA reductase (Simmondsia chinensis)
SpGA2022_000081-R0	Protein of unknown function
SpGA2022_000082-R0	Similar to CCH: Copper transport protein CCH (Arabidopsis thaliana)
SpGA2022_000083-R0	Similar to AHP2: Histidine-containing phosphotransfer protein 2 (Oryza sativa subsp. japonica)
SpGA2022_000084-R0	Similar to ATCSA-1: WD repeat-containing protein ATCSA-1 (Arabidopsis thaliana)
SpGA2022_050020-R0	Similar to POL2A: DNA polymerase epsilon catalytic subunit A (Arabidopsis thaliana)
SpGA2022_050021-R0	Protein of unknown function
SpGA2022_050022-R0	Similar to D6PKL2: Serine/threonine-protein kinase D6PKL2 (Arabidopsis thaliana)
SpGA2022_000088-R0	Similar to KIPK1: Serine/threonine-protein kinase KIPK1 (Arabidopsis thaliana)
SpGA2022_000088-R1	Similar to KIPK1: Serine/threonine-protein kinase KIPK1 (Arabidopsis thaliana)
SpGA2022_050024-R0	Similar to NIN3: Neutral/alkaline invertase 3%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_000090-R0	Similar to HDA9: Histone deacetylase 9 (Arabidopsis thaliana)
SpGA2022_050025-R0	Similar to FBL11: BTB/POZ domain-containing protein FBL11 (Arabidopsis thaliana)
SpGA2022_000092-R0	Similar to OTP51: Pentatricopeptide repeat-containing protein OTP51%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_050026-R0	Similar to SBEI: 1%2C4-alpha-glucan-branching enzyme 1%2C chloroplastic/amyloplastic (Pisum sativum)
SpGA2022_000094-R0	Protein of unknown function
SpGA2022_000095-R0	Protein of unknown function
SpGA2022_000095-R1	Similar to GPA3: Protein GLUTELIN PRECURSOR ACCUMULATION 3 (Oryza sativa subsp. japonica)
SpGA2022_000095-R2	Similar to GPA3: Protein GLUTELIN PRECURSOR ACCUMULATION 3 (Oryza sativa subsp. japonica)
SpGA2022_000096-R0	Protein of unknown function
SpGA2022_000097-R0	Protein of unknown function
SpGA2022_050029-R0	Protein of unknown function
SpGA2022_000099-R0	Protein of unknown function
SpGA2022_000100-R0	Similar to Adenylate isopentenyltransferase (Humulus lupulus)
SpGA2022_000101-R0	Similar to IPT2: tRNA dimethylallyltransferase 2 (Arabidopsis thaliana)
SpGA2022_000102-R0	Similar to C12RT1: Flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase (Citrus maxima)
SpGA2022_000103-R0	Protein of unknown function
SpGA2022_000104-R0	Similar to PTL: Trihelix transcription factor PTL (Arabidopsis thaliana)
SpGA2022_000105-R0	Similar to PTL: Trihelix transcription factor PTL (Arabidopsis thaliana)
SpGA2022_000106-R0	Protein of unknown function
SpGA2022_000107-R0	Similar to FBA3: Fructose-bisphosphate aldolase 3%2C cytoplasmic (Oryza sativa subsp. japonica)
SpGA2022_000108-R0	Protein of unknown function
