#gene_id	GO
SpGA2022_000001-R0	NA
SpGA2022_050000-R0	GO:0003676,GO:0005515
SpGA2022_000004-R0	GO:0016491
SpGA2022_050001-R0	GO:0016491
SpGA2022_000006-R0	GO:0016491
SpGA2022_000007-R0	GO:0016491
SpGA2022_000008-R0	GO:0022857,GO:0055085
SpGA2022_000009-R0	NA
SpGA2022_050002-R0	GO:0016491
SpGA2022_000011-R0	NA
SpGA2022_000012-R0	GO:0016491
SpGA2022_000013-R0	NA
SpGA2022_000014-R0	NA
SpGA2022_000015-R0	GO:0016491
SpGA2022_000016-R0	GO:0016787
SpGA2022_000017-R0	GO:0005515
SpGA2022_000018-R0	NA
SpGA2022_050003-R0	GO:0016020,GO:0022857,GO:0055085
SpGA2022_000020-R0	NA
SpGA2022_050004-R0	GO:0003824,GO:0004663,GO:0018344
SpGA2022_000022-R0	NA
SpGA2022_000023-R0	GO:0000413,GO:0003755,GO:0003824
SpGA2022_000024-R0	NA
SpGA2022_000025-R0	GO:0003677,GO:0006355
SpGA2022_000026-R0	NA
SpGA2022_000027-R0	GO:0003735,GO:0005515,GO:0005840,GO:0006412
SpGA2022_050005-R0	GO:0004553,GO:0005975
SpGA2022_050006-R0	GO:0005524,GO:0007018,GO:0008017,GO:1990939
SpGA2022_000030-R0	NA
SpGA2022_000031-R0	GO:0003700,GO:0006355,GO:0045893
SpGA2022_050007-R0	NA
SpGA2022_000033-R0	NA
SpGA2022_000034-R0	GO:0003735,GO:0005840,GO:0006412,GO:0019843
SpGA2022_000035-R0	GO:0016226,GO:0051536
SpGA2022_000036-R0	GO:0009785
SpGA2022_000037-R0	GO:0003746,GO:0005515,GO:0006414
SpGA2022_000038-R0	GO:0005743,GO:0005750,GO:0006122
SpGA2022_050008-R0	GO:0016226,GO:0051536
SpGA2022_050009-R0	NA
SpGA2022_000041-R0	GO:0004553,GO:0005975
SpGA2022_000042-R0	GO:0009055,GO:0022900,GO:0051536,GO:0051537
SpGA2022_050010-R0	NA
SpGA2022_000044-R0	NA
SpGA2022_000045-R0	GO:0005509
SpGA2022_000046-R0	NA
SpGA2022_000047-R0	NA
SpGA2022_000048-R0	NA
